HHKEY,ZIP_CODE,REC,FRE,CC_CARD,PSWEATERS,PKNIT_TOPS,PKNIT_DRES,PBLOUSES,PJACKETS,PCAR_PNTS,PCAS_PNTS,PSHIRTS,PDRESSES,PSUITS,POUTERWEAR,PJEWELRY,PFASHION,PLEGWEAR,PCOLLSPND,AMSPEND,PSSPEND,CCSPEND,AXSPEND,TMONSPEND,OMONSPEND,SMONSPEND,PREVPD,GMP,PROMOS,DAYS,MARKDOWN,CLASSES,COUPONS,NITEMS,STORES,VALPHON,WEB,MAILED,RESPONDED,LTP12FRE,CLUSTYPE,PERCRET,RESP
4021243,1001,208,2,0,0.18,0,0,0.3,0,0.25,0,0.19,0,0,0,0,0.02,0.03,0.29,0,0,368.46,0,0,0,0,0,0.6,17,666,0.08,9,1,11,1,N,0,5,0,4,1,0,0
72398833,1028,6,4,1,0.26,0.16,0,0,0,0.18,0.14,0,0.18,0,0,0,0,0.02,0.37,0,0,258,0,138,55.99,258,0,0.54,14,696,0.33,6,0,14,1,Y,0,4,2,12,1,0.03,1
82070443,1056,327,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,39,0.62,10,343,0.11,1,0,2,1,N,0,4,0,3,4,0,0
60162244,1118,66,8,1,0.38,0,0.05,0.06,0.2,0.17,0,0.05,0,0,0,0.005307,0.03,0.01,0,0,0,846.06,0,104.94,0,373.87,166.25,0.43,24,701,0.29,15,3,35,1,Y,0,9,6,18,1,0,0
75049589,1107,49,1,0,0.2,0.2,0,0,0,0,0.41,0,0,0,0,0.17,0,0,0,0,0,87.44,0,87.44,0,87.44,0,0.22,0,49,0.42,4,0,8,1,Y,0,0,0,1,7,0,0
51058050,1106,26,2,0,0,0.56,0,0,0,0,0,0,0,0,0,0.02,0.4,0,0,0,58,62,0,62,62,120,0,0.47,3,145,0.41,3,0,5,2,Y,0,0,0,0,7,0,0
81301180,1118,145,1,1,0.12,0,0,0,0.57,0.12,0,0.17,0,0,0,0,0,0,0,0,0,782.08,0,0,0,782.08,0,0.66,15,145,0.1,4,1,13,1,Y,0,4,0,3,1,0,0
95117630,1104,264,1,0,0.24,0,0,0,0.31,0.18,0,0,0.26,0,0,0,0,0,0.49,0,0,318.5,0,0,0,0,0,0.68,14,264,0.07,5,0,6,1,N,0,3,0,0,7,0,0
48545415,1104,23,12,1,0.25,0.04,0.01,0.06,0.11,0.24,0.03,0.14,0,0,0,0.02,0.04,0.02,0,0,0,922.36,741.1,536.57,237.18,936.97,347.99,0.53,26,684,0.23,22,1,77,2,Y,0,11,7,27,7,0,1
21428239,1201,144,7,1,0.38,0.21,0,0.03,0.24,0,0.03,0,0,0,0,0,0.02,0.07,0,0,0,486.16,145.92,0,0,116,0,0.53,25,698,0.24,11,2,36,3,Y,1,8,2,19,7,0,1
50833724,1267,118,1,0,0,0.15,0,0.33,0,0,0.22,0,0.28,0,0,0,0,0,0,0,160.99,12,0,0,0,172.99,0,0.65,3,118,0.04,4,0,5,2,Y,0,0,0,1,4,0,0
5353928,1331,12,5,0,0.12,0,0,0,0,0,0,0,0,0,0.15,0.02,0.08,0,0,0,75.99,30.39,0,65.39,0,106.38,0,0.53,15,369,0.14,6,0,6,3,N,0,8,2,2,7,1.48,0
98198872,1373,276,1,0,0.85,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,49.98,37.5,0,0,0,0,0,0.31,3,276,0.29,2,0,4,2,Y,0,0,0,1,4,0,0
88504017,1452,48,4,1,0.19,0.07,0.15,0.22,0,0,0,0.14,0,0,0.2,0,0,0,0,0,469.42,21.75,0,96.95,0,159.2,0,0.48,16,352,0.3,7,1,18,2,Y,0,4,1,7,4,0,0
69452015,1462,29,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.22,32.99,0,59.97,15,59.97,0,0.27,5,271,0.38,2,0,6,2,N,0,0,0,0,1,0,0
